名前,緯度,経度,郵便番号,都道府県,市区町村,街区,番地,建物名,住所,Google Map URL,口コミ点数,口コミ件数,営業開始時刻(日・時),営業開始時刻(日・分),営業終了時刻(日・時),営業終了時刻(日・分),営業開始時刻(月・時),営業開始時刻(月・分),営業終了時刻(月・時),営業終了時刻(月・分),営業開始時刻(火・時),営業開始時刻(火・分),営業終了時刻(火・時),営業終了時刻(火・分),営業開始時刻(水・時),営業開始時刻(水・分),営業終了時刻(水・時),営業終了時刻(水・分),営業開始時刻(木・時),営業開始時刻(木・分),営業終了時刻(木・時),営業終了時刻(木・分),営業開始時刻(金・時),営業開始時刻(金・分),営業終了時刻(金・時),営業終了時刻(金・分),営業開始時刻(土・時),営業開始時刻(土・分),営業終了時刻(土・時),営業終了時刻(土・分)
釜あげうどん 長田 in 香の香,133.779634,34.250868,〒765-0031,香川県,善通寺市,金蔵寺町,１１８０,,〒765-0031 香川県 善通寺市 金蔵寺町 １１８０,https://goo.gl/maps/i4o6YfvHHDmfZ7GXA,4.2,4067,9,00,15,00,9,00,15,00,9,00,15,00,定休日,,,,定休日,,,,9,00,15,00,9,00,15,00
手打十段うどん バカ一代,134.058538,34.336742,〒760-0063,香川県,高松市,多賀町,１丁目６−７,,〒760-0063 香川県 高松市 多賀町 １丁目６−７,https://goo.gl/maps/j9qurBxWyjEjXYdHA,4.1,6264,6,00,18,00,6,00,18,00,6,00,18,00,6,00,18,00,6,00,18,00,6,00,18,00,6,00,18,00
山越うどん,133.92821,34.22578,〒761-2207,香川県,綾歌郡綾川町,羽床上,６０２−２,,〒761-2207 香川県 綾歌郡綾川町 羽床上 ６０２−２,https://goo.gl/maps/CeY4X5J81LVWT4xPA,4.2,4369,定休日,,,,9,00,13,30,9,00,13,30,定休日,,,,9,00,13,30,9,00,13,30,9,00,13,30
がもううどん,133.914876,34.304966,〒762-0023,香川県,坂出市,加茂町,４２０−１,,〒762-0023 香川県 坂出市 加茂町 ４２０−１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日の出製麺所,133.850164,34.310354,〒762-0046,香川県,坂出市,富士見町,１丁目８−５,,〒762-0046 香川県 坂出市 富士見町 １丁目８−５,https://goo.gl/maps/cSEdntVpXV3nxa9M8,4.3,1926,11,30,12,30,11,30,12,30,11,30,12,30,11,30,12,30,11,30,12,30,11,30,12,30,11,30,12,30
讃岐うどん 一福 国分寺本店,133.975319,34.308036,〒769-0101,香川県,高松市,国分寺町新居,１６９−１,,〒769-0101 香川県 高松市 国分寺町新居 １６９−１,https://goo.gl/maps/nyRhRFk3S9RXTeck8,4.2,1428,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00,定休日,,,,10,00,14,00
本格手打 もり家,134.051499,34.239661,〒761-1704,香川県,高松市,香川町川内原,１５７５−１,,〒761-1704 香川県 高松市 香川町川内原 １５７５−１,https://goo.gl/maps/8Fxk5fNi5rJrdq6z6,4.1,1654,10,30,18,00,10,30,18,00,10,30,18,00,10,30,18,00,定休日,,,,定休日,,,,10,30,18,00
純手打うどん よしや,133.838615,34.265744,〒763-0084,香川県,丸亀市,飯野町東二,３４３−１,,〒763-0084 香川県 丸亀市 飯野町東二 ３４３−１,https://goo.gl/maps/iWRewYfgzJHAbZoM7,4.1,1953,7,00,14,50,7,00,14,50,定休日,,,,7,00,14,50,7,00,14,50,7,00,14,50,7,00,14,50
さか枝うどん 本店,134.041605,34.339807,〒760-0017,香川県,高松市,番町,５丁目２−２３,,〒760-0017 香川県 高松市 番町 ５丁目２−２３,https://goo.gl/maps/5U7eP2Erk96AXfcYA,4.2,1877,定休日,,,,7,00,15,00,7,00,15,00,7,00,15,00,7,00,15,00,7,00,15,00,7,00,17,00
うどん本陣 山田家,134.129625,34.353254,〒761-0121,香川県,高松市,牟礼町牟礼,３１８６,,〒761-0121 香川県 高松市 牟礼町牟礼 ３１８６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さぬきうどん上原屋 本店,134.045384,34.327118,〒760-0073,香川県,高松市,栗林町,１丁目１８−８,,〒760-0073 香川県 高松市 栗林町 １丁目１８−８,https://goo.gl/maps/DYiX29jNXyH45D7f7,4.2,1978,定休日,,,,9,30,15,30,9,30,15,30,9,30,15,30,9,30,15,30,9,30,15,30,9,30,15,30
本格手打ちうどん おか泉,133.820996,34.30929,〒769-0208,香川県,綾歌郡宇多津町,浜八番丁,１２９−１０,,〒769-0208 香川県 綾歌郡宇多津町 浜八番丁 １２９−１０,https://goo.gl/maps/DfTiwCUicS6SmQiSA,4.3,2666,10,45,19,00,定休日,,,,定休日,,,,11,00,19,00,11,00,19,00,11,00,19,00,10,45,19,00
須崎食料品店,133.769584,34.175097,〒767-0014,香川県,三豊市,高瀬町上麻,３７７８,,〒767-0014 香川県 三豊市 高瀬町上麻 ３７７８,https://goo.gl/maps/macP3gAYnqCTrTc67,4.5,1530,9,00,11,30,9,00,11,30,9,00,11,30,定休日,,,,9,00,11,30,9,00,11,30,9,00,11,30
谷川米殻店,133.976358,34.111362,〒766-0203,香川県,仲多度郡まんのう町,川東,１４９０,,〒766-0203 香川県 仲多度郡まんのう町 川東 １４９０,https://goo.gl/maps/XziYdYMNmJydGb5s9,4.2,1261,定休日,,,,10,30,13,30,10,30,13,30,10,30,13,30,10,30,13,30,10,30,13,30,10,30,13,30
ふる里うどん,134.100639,34.275665,〒761-0443,香川県,高松市,川島東町,５２３−４,,〒761-0443 香川県 高松市 川島東町 ５２３−４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セルフうどんの店 竹清（ちくせい）,134.042308,34.33811,〒760-0006,香川県,高松市,亀岡町,２−２３,,〒760-0006 香川県 高松市 亀岡町 ２−２３,https://goo.gl/maps/PQFGMTXvHbg2b1nU7,4.3,1748,定休日,,,,定休日,,,,10,45,14,30,10,45,14,30,10,45,14,30,10,45,14,30,10,45,14,30
うどん はゆか,133.904769,34.232419,〒761-2308,香川県,綾歌郡綾川町,羽床下,２２２２−５,,〒761-2308 香川県 綾歌郡綾川町 羽床下 ２２２２−５,https://goo.gl/maps/sX6fbCp5TGtPnoFJ6,4.0,1194,10,00,15,30,定休日,,,,10,00,15,30,10,00,15,30,10,00,15,30,10,00,15,30,10,00,15,30
山下うどん,133.817722,34.229872,〒765-0040,香川県,善通寺市,与北町,２８４−１,,〒765-0040 香川県 善通寺市 与北町 ２８４−１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西端手打 上戸うどん,133.6189,34.048,〒769-1604,香川県,観音寺市,豊浜町箕浦,９７４−１,,〒769-1604 香川県 観音寺市 豊浜町箕浦 ９７４−１,https://goo.gl/maps/yEXDxykTZjrDpS796,4.1,946,6,00,14,00,6,00,14,00,6,00,14,00,6,00,14,00,6,00,14,00,6,00,14,00,6,00,14,00
中村うどん,133.807368,34.300399,〒763-0082,香川県,丸亀市,土器町東,９丁目２８３,,〒763-0082 香川県 丸亀市 土器町東 ９丁目２８３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山内うどん,133.829751,34.137037,〒769-0316,香川県,仲多度郡まんのう町,大口,１０１０,,〒769-0316 香川県 仲多度郡まんのう町 大口 １０１０,https://goo.gl/maps/TekttoySQCwtb9oT7,4.2,1616,9,00,13,30,9,00,13,30,9,00,13,30,9,00,13,30,定休日,,,,9,00,13,30,9,00,13,30
なかむらうどん,133.835753,34.260443,〒762-0087,香川県,丸亀市,飯山町西坂元,１３７３−３,,〒762-0087 香川県 丸亀市 飯山町西坂元 １３７３−３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手打うどん田村,133.935314,34.266514,〒761-2103,香川県,綾歌郡綾川町,陶,１０９０－３,,〒761-2103 香川県 綾歌郡綾川町 陶 １０９０－３,https://goo.gl/maps/8FJhji8BzGKgxyzo9,4.1,835,定休日,,,,9,00,13,00,9,00,13,00,9,00,13,00,9,00,13,00,9,00,13,00,9,00,13,00
わら家,134.108235,34.343744,〒761-0112,香川県,高松市,屋島中町,９１,,〒761-0112 香川県 高松市 屋島中町 ９１,https://goo.gl/maps/NvAiLHCzxTx4tqH37,4.1,2321,9,30,17,30,9,30,17,30,9,30,17,30,9,30,17,30,9,30,17,30,9,30,17,30,9,30,17,30
手打ちうどん 鶴丸,134.052396,34.342381,〒760-0045,香川県,高松市,古馬場町,９−３４,,〒760-0045 香川県 高松市 古馬場町 ９−３４,https://goo.gl/maps/UX2JAiKEHLLWaGXe8,4.1,1549,定休日,,,,定休日,,,,定休日,,,,定休日,,,,20,00,2,00,20,00,2,00,20,00,2,00
手打ちうどん 大蔵,134.046574,34.32379,〒761-8063,香川県,高松市,花ノ宮町,３丁目４−１２,,〒761-8063 香川県 高松市 花ノ宮町 ３丁目４−１２,https://goo.gl/maps/7cdqnJoZUEuBZaReA,4.1,320,定休日,,,,10,30,14,15,10,30,14,15,10,30,14,15,定休日,,,,10,30,14,15,10,30,14,15
めりけんや 高松駅前店,134.047329,34.349719,〒760-0021,香川県,高松市,西の丸町,６−２０,,〒760-0021 香川県 高松市 西の丸町 ６−２０,https://goo.gl/maps/of2ZQgZPrsGzVeg69,3.8,1958,7,00,20,00,7,00,20,00,7,00,20,00,7,00,20,00,7,00,20,00,7,00,20,00,7,00,20,00
元祖しょうゆうどん 小縣家,133.858997,34.185367,〒766-0023,香川県,仲多度郡まんのう町,吉野,１２９８−２,,〒766-0023 香川県 仲多度郡まんのう町 吉野 １２９８−２,https://goo.gl/maps/qkwpWTz2zD9C5iqF6,3.8,898,10,30,14,30,10,30,14,30,10,30,14,30,10,30,14,30,10,30,14,30,10,30,14,30,10,30,14,30
松下製麺所,134.044788,34.335077,〒760-0008,香川県,高松市,中野町,２−２,,〒760-0008 香川県 高松市 中野町 ２−２,https://goo.gl/maps/wRcjE2FAbzBAaiiT6,4.1,1266,定休日,,,,7,00,15,00,7,00,15,00,7,00,15,00,7,00,15,00,7,00,15,00,7,00,15,00
中西うどん,134.029456,34.302214,〒761-8082,香川県,高松市,鹿角町,８２３−１,,〒761-8082 香川県 高松市 鹿角町 ８２３−１,https://goo.gl/maps/pNUpGg6R1S9QVMeP6,3.9,1267,7,00,14,00,7,00,15,00,定休日,,,,7,00,15,00,7,00,15,00,7,00,15,00,7,00,14,00
麺処 綿谷 丸亀店,133.79616,34.296312,〒763-0015,香川県,丸亀市,北平山町,２丁目６−１８,,〒763-0015 香川県 丸亀市 北平山町 ２丁目６−１８,https://goo.gl/maps/VyGAzkC79kLDfcfw5,4.3,2609,定休日,,,,8,30,14,00,8,30,14,00,8,30,14,00,8,30,14,00,8,30,14,00,8,30,14,00
池上製麺所,134.024642,34.246197,〒761-1705,香川県,高松市,香川町川東下,８９９−１,,〒761-1705 香川県 高松市 香川町川東下 ８９９−１,https://goo.gl/maps/XAfSGW49D1PTPTid6,3.8,937,10,30,14,00,定休日,,,,定休日,,,,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00
うどん市場 兵庫町店,134.0488,34.34645,〒760-0024,香川県,高松市,兵庫町,２−８,ひらのやビル,〒760-0024 香川県 高松市 兵庫町 ２−８ ひらのやビル,https://goo.gl/maps/uMoPTgUo5gj3A3Dr8,3.6,591,定休日,,,,11,00,17,00,11,00,20,00,11,00,20,00,11,00,20,00,11,00,20,00,11,00,20,00
うどんや カマ喜ri,133.676606,34.112716,〒768-0040,香川県,観音寺市,柞田町,４６−３,,〒768-0040 香川県 観音寺市 柞田町 ４６−３,https://goo.gl/maps/BNN7ZF86z7zKFQbx9,4.1,571,定休日,,,,11,00,14,00,11,00,14,00,11,00,13,00,11,00,14,00,11,00,14,00,11,00,14,00
宮武うどん,133.998372,34.29386,〒761-8044,香川県,高松市,円座町,３４０−１,,〒761-8044 香川県 高松市 円座町 ３４０−１,https://goo.gl/maps/7ey8VxyHrgEY1quw6,4.0,1077,9,30,15,00,9,30,15,00,9,30,15,00,定休日,,,,9,30,15,00,9,30,15,00,9,30,15,00
手打ちうどん麦蔵,134.060321,34.347775,〒760-0066,香川県,高松市,福岡町,１丁目４８２−５,,〒760-0066 香川県 高松市 福岡町 １丁目４８２−５,https://goo.gl/maps/8KK8CeNV7BoUZFMr9,4.0,495,11,00,14,00,11,00,14,00,11,00,14,00,11,00,14,00,定休日,,,,11,00,14,00,11,00,14,00
長田うどん,133.857542,34.185113,〒766-0023,香川県,仲多度郡まんのう町,吉野,１２９０−１,,〒766-0023 香川県 仲多度郡まんのう町 吉野 １２９０−１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
